# 经营范围规范表述目录（征求意见稿）
# 来源：P020210316361615430877.pdf；每行：条目代码	规范表述	对应行业分类	原始监管信息
F1016	可用作原料的固体废物进口	5199其他未列明批发业 对外贸易经营者备案登记;进口可用作 原料的固体废物国内收货人注册登记; 对外贸易经营者备案登记（自贸区适 用）;进口可用作原料的固体废物国内 收货人注册登记;； 石油、天然气、页岩气、 煤层气对外合作专营；对 外合作项目（含风险勘探 区块、合作开发区块和总 体开发方案）由指定公司	可用作原料的固体废物进口 5199其他未列明批发业 对外贸易经营者备案登记;进口可用作 原料的固体废物国内收货人注册登记; 对外贸易经营者备案登记（自贸区适 用）;进口可用作原料的固体废物国内 收货人注册登记;； 石油、天然气、页岩气、 煤层气对外合作专营；对 外合作项目（含风险勘探 区块、合作开发区块和总 体开发方案）由指定公司
F1017	谷物销售	5111谷物、豆及薯类批发；5221粮油零售	谷物销售 5111谷物、豆及薯类批发；5221粮油零售
F1018	豆及薯类销售	5111谷物、豆及薯类批发；5221粮油零售	豆及薯类销售 5111谷物、豆及薯类批发；5221粮油零售
F1019	军粮供应	5111谷物、豆及薯类批发 军粮供应站资格、军粮供应委托代理资 格认定; 军粮供应站资格、军粮供应委托代理 资格认定 军粮供应站资格、军粮供 应委托代理资格认定	军粮供应 5111谷物、豆及薯类批发 军粮供应站资格、军粮供应委托代理资 格认定; 军粮供应站资格、军粮供应委托代理 资格认定 军粮供应站资格、军粮供 应委托代理资格认定
F1020	粮食收购	5111谷物、豆及薯类批发 粮食收购资格认定; 粮食收购资格认定 粮食收购资格认定	粮食收购 5111谷物、豆及薯类批发 粮食收购资格认定; 粮食收购资格认定 粮食收购资格认定
F1021	农作物种子经营	5112种子批发；5299其他未列明零售业 农作物种子生产经营（外商投资企业）	农作物种子经营 5112种子批发；5299其他未列明零售业 农作物种子生产经营（外商投资企业） 许可证核发;农作物种子、食用菌菌种 生产经营许可证核发;农作物种子生产 经营（进出口）许可证核发;外商投资 农作物新品种选育和种子生产经营审 批; 农作物种子生产经营（外商投资企 业）许可证核发;农作物种子、食用菌 菌种生产经营许可证核发;农作物种子 生产经营（进出口）许可证核发;外商 投资农作物新品种选育和种子生产经 营审批;农作物种子生产经营分支机构 农作物种子生产 经营分支机构备 案; 农作物种子、林木种子、 草种、烟草种、中药材种 、食用菌菌种生产经营、 进出口许可
F1022	食用菌菌种经营	5112种子批发；5299其他未列明零售业 农作物种子、食用菌菌种生产经营	食用菌菌种经营 5112种子批发；5299其他未列明零售业 农作物种子、食用菌菌种生产经营许可 证核发; 农作物种子、食用菌菌种生产经营许 可证核发 农作物种子、林木种子、 草种、烟草种、中药材种
F1025	转基因棉花种子经营	5112种子批发 转基因棉花种子生产经营	转基因棉花种子经营 5112种子批发 转基因棉花种子生产经营许可证核发 （初审）; 转基因棉花种子生产经营许可证核发 （初审）
F1026	畜牧渔业饲料销售	5113畜牧渔业饲料批发	畜牧渔业饲料销售 5113畜牧渔业饲料批发
F1027	棉、麻销售	5114棉、麻批发；5299其他未列明零售业	棉、麻销售 5114棉、麻批发；5299其他未列明零售业
F1028	林业产品销售	5115林业产品批发；5299其他未列明零售业	林业产品销售 5115林业产品批发；5299其他未列明零售业
F1029	牲畜销售	5116牲畜批发	牲畜销售 5116牲畜批发
F1030	种畜禽经营	5116牲畜批发 种畜禽生产经营	种畜禽经营 5116牲畜批发 种畜禽生产经营许可; 种畜禽生产经营许可 种畜禽、畜禽冷冻精液、 胚胎或者其他遗传材料的
F1031	蜂种经营	5119其他农牧产品批发 蜂种生产经营	蜂种经营 5119其他农牧产品批发 蜂种生产经营许可证核发; 蜂种生产经营许可证核发
F1032	蚕种经营	5119其他农牧产品批发 蚕种生产经营	蚕种经营 5119其他农牧产品批发 蚕种生产经营许可证核发; 蚕种生产经营许可证核发
F1033	转基因种畜禽经营	5116牲畜批发 转基因种畜禽生产经营	转基因种畜禽经营 5116牲畜批发 转基因种畜禽生产经营许可证核发; 转基因种畜禽生产经营许可证核发
F1034	供港澳活畜禽经营	5116牲畜批发 供港澳活畜禽经营权	供港澳活畜禽经营 5116牲畜批发 供港澳活畜禽经营权审批; 供港澳活畜禽经营权审批 对输港澳活畜禽实行经营 资格管理（目前适用商品
F1035	生鲜乳收购	5199其他未列明批发业 生鲜乳收购站	生鲜乳收购 5199其他未列明批发业 生鲜乳收购站许可; 生鲜乳收购站许可 生鲜乳运输、生鲜乳收购
F1036	出售、收购国家二级保护野生 植物	5115林业产品批发；7714野生植物保护 出售、收购国家二级保护野生植物审 批; 出售、收购国家二级保护野生植物审 批 出售、收购国家二级保护 野生植物	出售、收购国家二级保护野生 植物 5115林业产品批发；7714野生植物保护 出售、收购国家二级保护野生植物审 批; 出售、收购国家二级保护野生植物审 批 出售、收购国家二级保护 野生植物审批
F1037	水产品批发	5117渔业产品批发	水产品批发 5117渔业产品批发
F1038	转基因水产苗种经营	5117渔业产品批发 转基因水产苗种生产经营	转基因水产苗种经营 5117渔业产品批发 转基因水产苗种生产经营许可证核发; 转基因水产苗种生产经营许可证核发 水产苗种、转基因水产苗 种生产经营许可，重要水
F1039	农副产品销售	5119其他农牧产品批发；5299其他未列明零售业	农副产品销售 5119其他农牧产品批发；5299其他未列明零售业
F1040	食品经营（销售预包装食品）	5121米、面制品及食用油批发；5122糕点、糖果及糖批发； 5123果品、蔬菜批发；5124肉、禽、蛋、奶及水产品批发； 5125盐及调味品批发；5126营养和保健品批发；5127酒、饮 料及茶叶批发；5129其他食品批发；5221粮油零售；5222糕 点、面包零售；5223果品、蔬菜零售；5224肉、禽、蛋、奶 及水产品零售；5225营养和保健品零售；5226酒、饮料及茶 叶零售；5229其他食品零售 食品经营	食品经营（销售预包装食品） 5121米、面制品及食用油批发；5122糕点、糖果及糖批发； 5123果品、蔬菜批发；5124肉、禽、蛋、奶及水产品批发； 5125盐及调味品批发；5126营养和保健品批发；5127酒、饮 料及茶叶批发；5129其他食品批发；5221粮油零售；5222糕 点、面包零售；5223果品、蔬菜零售；5224肉、禽、蛋、奶 及水产品零售；5225营养和保健品零售；5226酒、饮料及茶 叶零售；5229其他食品零售 食品经营许可（仅销售预包装食品）; 食品经营许可（仅销售预包装食品）; 食品经营许可（仅销售预包装食品） （自贸区适用）; 食品经营许可 （仅销售预包装 食品）（自贸区 适用）; 食品（含保健食品、婴幼 儿配方食品和特殊医学用 途配方食品等特殊食品） 、食品添加剂生产许可； 食品（含保健食品、婴幼 儿配方食品和特殊医学用 途配方食品等特殊食品）
F1041	食品经营	5121米、面制品及食用油批发；5122糕点、糖果及糖批发； 5123果品、蔬菜批发；5124肉、禽、蛋、奶及水产品批发； 5125盐及调味品批发；5126营养和保健品批发；5127酒、饮 料及茶叶批发；5129其他食品批发；5221粮油零售；5222糕 点、面包零售；5223果品、蔬菜零售；5224肉、禽、蛋、奶 及水产品零售；5225营养和保健品零售；5226酒、饮料及茶 叶零售；5229其他食品零售 食品经营	食品经营 5121米、面制品及食用油批发；5122糕点、糖果及糖批发； 5123果品、蔬菜批发；5124肉、禽、蛋、奶及水产品批发； 5125盐及调味品批发；5126营养和保健品批发；5127酒、饮 料及茶叶批发；5129其他食品批发；5221粮油零售；5222糕 点、面包零售；5223果品、蔬菜零售；5224肉、禽、蛋、奶 及水产品零售；5225营养和保健品零售；5226酒、饮料及茶 叶零售；5229其他食品零售 食品经营许可（除仅销售预包装食品 外）;食品经营许可（仅销售预包装食 品）; 食品经营许可（除仅销售预包装食品 外）;食品经营许可（仅销售预包装食 品）;食品经营许可（仅销售预包装食 品）（自贸区适用） 食品经营许可 （仅销售预包装 食品）（自贸区 适用）; 食品（含保健食品、婴幼 儿配方食品和特殊医学用 途配方食品等特殊食品） 、食品添加剂生产许可； 食品（含保健食品、婴幼 儿配方食品和特殊医学用 途配方食品等特殊食品）
